"id","loan_tenure_in_months","loan_amount","status","date_created","date_won","company_id"
20523,24,50000.00,"rejected","2019-01-02 11:39:37",NULL,127
20524,6,15000.00,"accepted","2019-01-02 12:10:48","2019-01-09 01:48:40",403
20525,24,75000.00,"accepted","2019-01-02 12:27:03","2019-01-09 07:05:19",119
20526,24,81000.00,"rejected","2019-01-02 12:39:26",NULL,198
20527,6,8000.00,"accepted","2019-01-02 12:56:52","2019-01-03 08:56:02",414
20528,12,45000.00,"accepted","2019-01-02 12:59:39","2019-01-04 07:31:56",122
20529,6,15000.00,"rejected","2019-01-02 13:12:22",NULL,414
20530,6,15000.00,"rejected","2019-01-02 14:09:09",NULL,414
20531,6,20000.00,"accepted","2019-01-02 14:27:51","2019-05-06 09:21:14",403
20532,24,100000.00,"rejected","2019-01-02 14:44:00",NULL,126
20533,6,22000.00,"accepted","2019-01-02 15:37:53","2019-01-09 07:31:06",322
20534,24,50000.00,"rejected","2019-01-02 17:34:30",NULL,385
20535,3,5500.00,"accepted","2019-01-02 17:49:55","2019-01-09 04:50:44",119
20536,12,50000.00,"rejected","2019-01-02 20:39:41",NULL,759
20537,1,30000.00,"open application","2019-01-02 21:27:01",NULL,286
20538,24,45000.00,"accepted","2019-01-02 22:03:49","2019-01-09 07:18:56",119
20539,1,1000.00,"open application","2019-01-02 22:15:18",NULL,286
20540,12,50000.00,"open application","2019-01-02 22:37:06",NULL,252
20541,1,1000.00,"rejected","2019-01-02 22:54:54",NULL,385
20542,6,25000.00,"accepted","2019-01-02 22:55:59","2019-01-03 23:53:36",350
20543,6,14000.00,"accepted","2019-01-02 23:19:59","2019-01-09 06:34:47",198
20544,6,15000.00,"open application","2019-01-03 00:10:59",NULL,414
20545,6,10000.00,"rejected","2019-01-03 00:45:29",NULL,414
20546,6,22000.00,"accepted","2019-01-03 00:49:41","2019-01-04 00:05:10",414
20547,6,7000.00,"accepted","2019-01-03 00:56:40","2019-01-09 06:05:45",119
20548,6,16000.00,"accepted","2019-01-03 01:13:31","2019-01-10 04:23:46",414
20549,6,15000.00,"open application","2019-01-03 01:15:08",NULL,198
20550,24,80000.00,"rejected","2019-01-03 01:47:17",NULL,76
20551,3,5000.00,"open application","2019-01-03 01:57:21",NULL,63
20552,12,15000.00,"rejected","2019-01-03 02:10:07",NULL,113
20553,12,22000.00,"rejected","2019-01-03 02:38:58",NULL,318
20554,12,40000.00,"accepted","2019-01-03 02:45:30","2019-01-03 08:48:41",334
20555,6,35000.00,"accepted","2019-01-03 03:07:26","2019-01-04 00:02:34",382
20556,12,25000.00,"rejected","2019-01-03 03:16:29",NULL,385
20557,6,15000.00,"rejected","2019-01-03 03:21:13",NULL,84
20558,12,50000.00,"accepted","2019-01-03 03:22:42","2019-01-04 07:51:59",198
20559,6,10000.00,"open application","2019-01-03 03:29:40",NULL,195
20560,12,40000.00,"rejected","2019-01-03 03:35:18",NULL,385
20561,6,12000.00,"rejected","2019-01-03 03:36:23",NULL,70
20562,24,45000.00,"accepted","2019-01-03 03:50:45","2019-01-07 01:34:16",124
20563,6,10000.00,"rejected","2019-01-03 03:52:38",NULL,385
20564,6,10000.00,"accepted","2019-01-03 03:54:53","2019-04-29 02:47:05",414
20565,6,10000.00,"rejected","2019-01-03 04:08:25",NULL,84
20566,12,22000.00,"rejected","2019-01-03 04:09:02",NULL,318
20567,1,6000.00,"rejected","2019-01-03 04:22:32",NULL,162
20568,12,180000.00,"accepted","2019-01-03 04:22:47","2019-01-07 01:42:43",311
20569,3,15000.00,"open application","2019-01-03 04:36:36",NULL,252
20570,6,18000.00,"rejected","2019-01-03 04:44:12",NULL,84
20571,6,10000.00,"rejected","2019-01-03 04:51:21",NULL,119
20572,12,16000.00,"accepted","2019-01-03 04:52:47","2019-01-15 00:48:48",198
20573,6,16000.00,"accepted","2019-01-03 04:54:05","2019-01-09 08:38:32",319
20574,6,11000.00,"accepted","2019-01-03 05:13:44","2019-01-04 09:11:45",198
20575,6,15000.00,"open application","2019-01-03 05:25:34",NULL,414
20576,6,7000.00,"accepted","2019-01-03 05:29:29","2019-01-04 08:44:39",401
20577,24,80000.00,"rejected","2019-01-03 05:48:14",NULL,127
20578,24,100000.00,"rejected","2019-01-03 05:49:37",NULL,414
20579,6,12000.00,"accepted","2019-01-03 06:10:43","2019-01-09 08:33:08",414
20580,6,10000.00,"accepted","2019-01-03 06:13:53","2019-01-09 05:26:13",119
20581,24,47000.00,"accepted","2019-01-03 06:22:06","2019-01-09 05:40:59",85
20581,24,47000.00,"accepted","2019-01-03 06:22:06","2019-01-09 05:40:59",118
20582,12,44000.00,"rejected","2019-01-03 06:32:14",NULL,318
20583,12,20000.00,"rejected","2019-01-03 06:38:38",NULL,127
20584,24,55200.00,"rejected","2019-01-03 06:44:49",NULL,119
20585,6,13500.00,"accepted","2019-01-03 07:48:27","2019-01-09 04:30:23",414
20586,1,50000.00,"rejected","2019-01-03 08:03:32",NULL,323
20587,6,15000.00,"accepted","2019-01-03 08:09:29","2019-01-10 05:20:32",198
20588,12,200000.00,"accepted","2019-01-03 08:33:25","2019-01-04 02:20:12",311
20589,12,25000.00,"rejected","2019-01-03 08:38:24",NULL,391
20590,12,35600.00,"rejected","2019-01-03 08:54:25",NULL,245
20591,6,16000.00,"accepted","2019-01-03 09:12:41","2019-01-09 06:45:07",396
20592,12,30000.00,"rejected","2019-01-03 09:18:29",NULL,405
20593,12,22500.00,"rejected","2019-01-03 09:24:05",NULL,198
20594,12,40000.00,"rejected","2019-01-03 09:38:04",NULL,198
20595,6,21000.00,"accepted","2019-01-03 09:55:05","2019-01-09 05:16:58",385
20596,6,8000.00,"accepted","2019-01-03 10:06:39","2019-01-10 03:15:49",414
20597,6,21000.00,"accepted","2019-01-03 10:37:23","2019-01-09 08:31:00",414
20598,6,15000.00,"rejected","2019-01-03 10:41:30",NULL,395
20599,6,17000.00,"accepted","2019-01-03 10:50:10","2019-01-10 08:36:23",198
20600,12,27000.00,"accepted","2019-01-03 11:24:23","2019-01-09 04:35:22",198
20601,12,30000.00,"rejected","2019-01-03 11:39:34",NULL,385
20602,6,15000.00,"accepted","2019-01-03 11:47:47","2019-01-17 01:27:07",198
20603,6,10000.00,"open application","2019-01-03 11:54:18",NULL,224
20604,1,2000.00,"open application","2019-01-03 12:40:30",NULL,210
20605,24,100000.00,"rejected","2019-01-03 13:04:57",NULL,385
20606,6,19000.00,"accepted","2019-01-03 13:11:11","2019-01-09 04:25:38",414
20607,12,90000.00,"rejected","2019-01-03 14:44:18",NULL,214
20608,12,18000.00,"accepted","2019-01-03 15:24:07","2019-01-14 04:34:35",198
20609,3,5000.00,"rejected","2019-01-03 16:29:07",NULL,198
20610,24,45000.00,"rejected","2019-01-03 17:43:47",NULL,198
20611,24,20000.00,"rejected","2019-01-03 18:32:36",NULL,127
20612,12,30000.00,"accepted","2019-01-03 18:41:33","2019-01-09 04:44:36",385
20613,6,15000.00,"rejected","2019-01-03 22:49:01",NULL,162
20614,6,34000.00,"accepted","2019-01-03 23:01:59","2019-05-28 06:02:49",414
20615,6,15000.00,"accepted","2019-01-03 23:33:20","2019-01-04 09:36:34",198
20616,6,11000.00,"rejected","2019-01-03 23:39:43",NULL,119
20617,24,50000.00,"rejected","2019-01-04 00:26:31",NULL,414
20618,12,46000.00,"accepted","2019-01-04 00:54:45","2019-01-07 01:50:51",318
20619,12,20000.00,"open application","2019-01-04 01:05:21",NULL,318
20620,6,10000.00,"rejected","2019-01-04 01:11:24",NULL,380
20621,3,8500.00,"rejected","2019-01-04 01:51:43",NULL,245
20622,12,50000.00,"rejected","2019-01-04 01:53:43",NULL,307
20623,24,35000.00,"open application","2019-01-04 02:25:51",NULL,377
20624,6,10000.00,"open application","2019-01-04 02:27:52",NULL,119
20625,12,20000.00,"rejected","2019-01-04 02:45:50",NULL,84
20626,24,60000.00,"accepted","2019-01-04 02:47:00","2019-01-10 00:02:38",318
20627,6,15000.00,"open application","2019-01-04 03:00:39",NULL,414
20628,6,10500.00,"accepted","2019-01-04 03:06:11","2019-01-18 01:48:37",380
20629,6,10000.00,"accepted","2019-01-04 03:10:59","2019-01-14 07:25:33",111
20629,6,10000.00,"accepted","2019-01-04 03:10:59","2019-01-14 07:25:33",732
20630,24,60000.00,"open application","2019-01-04 03:15:10",NULL,198
20631,6,12000.00,"accepted","2019-01-04 03:31:28","2019-01-14 07:15:39",414
20632,1,10000.00,"rejected","2019-01-04 03:55:08",NULL,267
20633,12,50000.00,"open application","2019-01-04 04:17:49",NULL,414
20634,6,10000.00,"rejected","2019-01-04 04:27:06",NULL,112
20635,12,49000.00,"rejected","2019-01-04 04:45:54",NULL,318
20636,3,10000.00,"rejected","2019-01-04 04:51:53",NULL,198
20637,12,45000.00,"accepted","2019-01-04 04:53:50","2019-01-09 23:59:28",318
20638,12,36000.00,"rejected","2019-01-04 04:59:57",NULL,245
20639,24,55000.00,"rejected","2019-01-04 05:29:21",NULL,198
20640,6,21000.00,"accepted","2019-01-04 05:32:11","2019-01-16 01:33:00",307
20641,24,30000.00,"rejected","2019-01-04 05:41:20",NULL,198
20642,24,150000.00,"rejected","2019-01-04 05:47:50",NULL,114
20643,12,24000.00,"rejected","2019-01-04 06:24:09",NULL,84
20644,3,23000.00,"rejected","2019-01-04 06:41:52",NULL,237
20645,12,10000.00,"rejected","2019-01-04 07:04:05",NULL,350
20646,1,3000.00,"rejected","2019-01-04 07:14:07",NULL,127
20647,12,35800.00,"rejected","2019-01-04 07:19:52",NULL,245
20648,12,36000.00,"rejected","2019-01-04 07:20:25",NULL,245
20649,1,10000.00,"open application","2019-01-04 07:49:20",NULL,323
20650,12,11000.00,"accepted","2019-01-04 08:05:36","2019-01-09 08:21:36",198
20651,6,10000.00,"rejected","2019-01-04 08:15:19",NULL,84
20652,12,85000.00,"open application","2019-01-04 08:24:02",NULL,257
20653,1,4000.00,"open application","2019-01-04 08:31:01",NULL,323
20654,12,30000.00,"accepted","2019-01-04 08:54:32","2019-01-14 01:01:05",385
20655,12,53000.00,"accepted","2019-01-04 09:10:32","2019-01-09 09:07:06",307
20656,3,2500.00,"accepted","2019-01-04 09:34:25","2019-01-22 01:02:08",119
20657,24,25000.00,"rejected","2019-01-04 09:45:17",NULL,198
20658,1,6000.00,"rejected","2019-01-04 10:04:44",NULL,127
20659,6,13000.00,"accepted","2019-01-04 10:26:34","2019-01-09 07:48:11",198
20660,24,100000.00,"accepted","2019-01-04 10:32:30","2019-01-09 07:41:53",385
20661,3,2500.00,"accepted","2019-01-04 10:40:50","2019-01-14 03:16:09",119
20662,24,25000.00,"rejected","2019-01-04 11:04:39",NULL,198
20663,6,10000.00,"accepted","2019-01-04 11:14:33","2019-01-10 01:19:30",403
20664,6,18000.00,"rejected","2019-01-04 11:20:56",NULL,127
20665,6,29000.00,"accepted","2019-01-04 12:02:19","2019-01-10 08:20:38",413
20666,12,40000.00,"accepted","2019-01-04 12:13:10","2019-01-14 03:36:46",385
20667,6,10000.00,"rejected","2019-01-04 12:44:07",NULL,198
20668,12,46000.00,"accepted","2019-01-04 12:49:30","2019-01-10 06:59:55",307
20669,12,25000.00,"rejected","2019-01-04 13:13:56",NULL,127
20670,6,17000.00,"accepted","2019-01-04 13:42:48","2019-01-16 00:27:03",414
20671,6,8000.00,"open application","2019-01-04 15:59:48",NULL,85
20671,6,8000.00,"open application","2019-01-04 15:59:48",NULL,118
20672,12,35000.00,"accepted","2019-01-04 16:31:49","2019-01-10 02:02:13",198
20673,24,25000.00,"open application","2019-01-04 19:53:27",NULL,345
20674,24,90000.00,"rejected","2019-01-04 22:48:44",NULL,119
20675,24,50000.00,"rejected","2019-01-04 23:44:09",NULL,360
20676,6,10000.00,"rejected","2019-01-05 01:04:51",NULL,198
20677,6,5000.00,"accepted","2019-01-05 02:03:00","2019-01-10 00:44:17",119
20678,12,20000.00,"accepted","2019-01-05 02:32:59","2019-01-14 04:28:38",318
20679,12,20000.00,"rejected","2019-01-05 02:40:52",NULL,119
20680,24,70000.00,"rejected","2019-01-05 02:49:31",NULL,193
20681,6,15000.00,"accepted","2019-01-05 02:53:40","2019-01-14 02:46:18",414
20682,6,45000.00,"rejected","2019-01-05 03:22:16",NULL,156
20683,12,121000.00,"accepted","2019-01-05 03:33:28","2019-01-09 08:52:32",336
20684,3,10000.00,"rejected","2019-01-05 03:43:34",NULL,391
20685,6,50000.00,"accepted","2019-01-05 03:57:34","2019-02-28 08:11:26",111
20685,6,50000.00,"accepted","2019-01-05 03:57:34","2019-02-28 08:11:26",732
20686,6,30000.00,"rejected","2019-01-05 04:53:01",NULL,198
20687,6,15000.00,"accepted","2019-01-05 05:51:30","2019-01-17 09:10:15",414
20688,6,10000.00,"accepted","2019-01-05 05:53:36","2019-01-17 02:33:00",414
20689,24,50000.00,"accepted","2019-01-05 05:57:07","2019-01-09 09:00:14",122
20690,12,50000.00,"open application","2019-01-05 06:56:54",NULL,162
20691,6,14000.00,"rejected","2019-01-05 07:18:39",NULL,84
20692,6,12000.00,"rejected","2019-01-05 07:20:03",NULL,84
20693,24,30000.00,"rejected","2019-01-05 07:28:42",NULL,286
20694,3,45000.00,"accepted","2019-01-05 07:42:15","2019-01-10 02:19:05",200
20695,12,30000.00,"rejected","2019-01-05 07:45:41",NULL,209
20696,12,45000.00,"accepted","2019-01-05 07:47:48","2019-01-09 08:03:10",414
20697,6,19000.00,"accepted","2019-01-05 07:52:07","2019-01-14 07:35:24",414
20698,6,15000.00,"rejected","2019-01-05 08:00:39",NULL,119
20699,1,10000.00,"rejected","2019-01-05 08:06:10",NULL,210
20700,24,10000.00,"rejected","2019-01-05 08:22:05",NULL,69
20701,6,10000.00,"accepted","2019-01-05 08:36:10","2019-04-12 07:13:23",198
20702,24,100000.00,"rejected","2019-01-05 08:43:59",NULL,127
20703,24,30000.00,"rejected","2019-01-05 09:51:49",NULL,252
20704,24,30000.00,"open application","2019-01-05 11:02:37",NULL,385
20705,6,5000.00,"rejected","2019-01-05 12:21:44",NULL,278
20706,1,10000.00,"rejected","2019-01-05 12:45:44",NULL,280
20707,3,5000.00,"rejected","2019-01-05 12:58:19",NULL,162
20708,6,10000.00,"rejected","2019-01-05 13:42:21",NULL,198
20709,1,20000.00,"rejected","2019-01-05 14:16:26",NULL,336
20710,6,18000.00,"accepted","2019-01-05 14:18:36","2019-01-09 08:16:17",385
20711,12,35000.00,"rejected","2019-01-05 14:50:23",NULL,318
20712,1,5000.00,"rejected","2019-01-05 15:18:27",NULL,393
20713,3,25000.00,"rejected","2019-01-05 15:53:26",NULL,191
20714,6,20000.00,"accepted","2019-01-05 15:57:41","2019-01-09 08:26:27",322
20715,24,10000.00,"rejected","2019-01-05 16:16:14",NULL,113
20716,6,50000.00,"rejected","2019-01-05 17:17:21",NULL,286
20717,24,100000.00,"open application","2019-01-05 17:23:43",NULL,127
20718,6,5000.00,"rejected","2019-01-05 20:07:46",NULL,224
20719,24,10000.00,"rejected","2019-01-05 21:15:30",NULL,162
20720,6,13500.00,"accepted","2019-01-05 22:24:44","2019-01-10 00:50:31",414
20721,24,50000.00,"open application","2019-01-06 01:09:10",NULL,381
20722,12,80000.00,"rejected","2019-01-06 01:16:01",NULL,320
20723,6,20000.00,"rejected","2019-01-06 01:40:08",NULL,307
20724,6,15500.00,"accepted","2019-01-06 01:56:24","2019-01-10 04:37:37",414
20725,6,5000.00,"open application","2019-01-06 02:40:13",NULL,162
20726,12,35000.00,"rejected","2019-01-06 02:43:59",NULL,385
20727,1,10000.00,"rejected","2019-01-06 02:56:44",NULL,189
20728,12,30000.00,"rejected","2019-01-06 03:03:17",NULL,198
20729,6,15000.00,"accepted","2019-01-06 03:27:50","2019-01-10 02:34:00",111
20729,6,15000.00,"accepted","2019-01-06 03:27:50","2019-01-10 02:34:00",732
20730,6,10000.00,"open application","2019-01-06 03:34:07",NULL,414
20731,6,15000.00,"accepted","2019-01-06 03:39:33","2019-01-10 00:22:52",403
20732,3,15000.00,"rejected","2019-01-06 03:48:29",NULL,286
20733,6,11000.00,"accepted","2019-01-06 04:25:16","2019-02-08 09:19:12",414
20734,12,25000.00,"rejected","2019-01-06 04:26:43",NULL,380
20735,1,50000.00,"rejected","2019-01-06 04:34:05",NULL,237
20736,6,12000.00,"accepted","2019-01-06 04:34:33","2019-01-10 00:28:32",198
20737,12,10000.00,"rejected","2019-01-06 04:35:48",NULL,198
20738,12,20000.00,"rejected","2019-01-06 04:45:07",NULL,95
20739,6,22000.00,"accepted","2019-01-06 05:02:49","2019-01-09 23:57:24",414
20740,6,25000.00,"rejected","2019-01-06 05:10:27",NULL,305
20741,12,10000.00,"rejected","2019-01-06 05:27:34",NULL,198
20742,1,1000.00,"rejected","2019-01-06 05:27:40",NULL,323
20743,6,10000.00,"rejected","2019-01-06 05:53:54",NULL,162
20744,12,30000.00,"accepted","2019-01-06 06:30:59","2019-03-21 02:42:48",414
20745,24,5000.00,"open application","2019-01-06 06:44:00",NULL,335
20746,12,30000.00,"open application","2019-01-06 07:34:13",NULL,162
20747,12,55000.00,"rejected","2019-01-06 08:02:03",NULL,286
20748,6,10000.00,"accepted","2019-01-06 09:11:15","2019-01-10 05:03:18",414
20749,12,10000.00,"rejected","2019-01-06 09:37:21",NULL,267
20750,24,20000.00,"open application","2019-01-06 09:39:05",NULL,414
20751,1,2000.00,"rejected","2019-01-06 10:08:40",NULL,385
20752,12,20000.00,"rejected","2019-01-06 10:28:17",NULL,122
20753,6,11000.00,"accepted","2019-01-06 10:45:52","2019-01-09 08:28:38",198
20754,6,15000.00,"accepted","2019-01-06 10:52:22","2019-01-10 03:52:44",414
20755,6,14000.00,"accepted","2019-01-06 10:53:18","2019-01-10 02:39:05",414
20756,24,20000.00,"rejected","2019-01-06 11:09:24",NULL,414
20757,6,16000.00,"accepted","2019-01-06 11:11:37","2019-02-08 09:25:32",414
20758,6,10000.00,"rejected","2019-01-06 11:44:07",NULL,286
20759,6,14500.00,"accepted","2019-01-06 13:24:25","2019-01-10 00:47:51",414
20760,1,5500.00,"open application","2019-01-06 13:33:23",NULL,237
20761,1,5000.00,"open application","2019-01-06 13:57:54",NULL,224
20762,12,20000.00,"accepted","2019-01-06 14:34:58","2019-01-10 00:19:13",84
20763,6,11000.00,"accepted","2019-01-06 14:38:53","2019-01-10 03:28:28",414
20764,6,21500.00,"accepted","2019-01-06 14:39:58","2019-01-10 02:15:59",414
20765,12,30000.00,"accepted","2019-01-06 15:06:43","2019-01-10 06:12:38",385
20766,12,90000.00,"rejected","2019-01-06 15:11:49",NULL,214
20767,1,15000.00,"rejected","2019-01-06 15:43:38",NULL,255
20768,24,58200.00,"rejected","2019-01-06 17:13:08",NULL,214
20769,6,11500.00,"accepted","2019-01-06 19:47:10","2019-01-10 06:07:50",414
20770,6,25000.00,"rejected","2019-01-06 23:25:57",NULL,119
20771,24,40000.00,"rejected","2019-01-06 23:48:52",NULL,77
20772,12,18000.00,"rejected","2019-01-07 00:15:42",NULL,119
20773,6,15000.00,"rejected","2019-01-07 00:32:54",NULL,267
20774,6,9000.00,"accepted","2019-01-07 00:34:12","2019-01-21 05:42:28",380
20775,6,11000.00,"accepted","2019-01-07 00:34:48","2019-01-25 07:56:22",414
20776,3,18500.00,"accepted","2019-01-07 00:42:56","2019-01-16 07:06:03",412
20777,3,6600.00,"accepted","2019-01-07 01:38:38","2019-01-10 02:28:56",328
20778,6,15000.00,"accepted","2019-01-07 01:50:04","2019-01-10 00:30:46",414
20779,12,30000.00,"accepted","2019-01-07 02:21:12","2019-01-14 05:51:16",274
20780,6,14000.00,"accepted","2019-01-07 02:30:42","2019-01-09 23:46:56",395
20781,6,15000.00,"accepted","2019-01-07 02:36:31","2019-04-01 05:13:27",414
20782,6,14000.00,"accepted","2019-01-07 02:43:22","2019-01-10 05:17:50",198
20783,24,20000.00,"rejected","2019-01-07 03:04:00",NULL,414
20784,12,24000.00,"accepted","2019-01-07 03:11:43","2019-01-10 02:12:17",414
20785,6,30000.00,"rejected","2019-01-07 03:13:59",NULL,323
20786,6,10000.00,"rejected","2019-01-07 03:14:30",NULL,162
20787,12,15000.00,"rejected","2019-01-07 03:20:48",NULL,414
20788,12,46000.00,"accepted","2019-01-07 03:34:38","2019-01-10 02:21:57",254
20789,12,23000.00,"accepted","2019-01-07 03:39:37","2019-01-10 07:15:46",214
20790,12,20000.00,"rejected","2019-01-07 03:40:41",NULL,119
20791,3,10000.00,"rejected","2019-01-07 03:48:38",NULL,385
20792,24,40000.00,"rejected","2019-01-07 03:53:13",NULL,218
20793,24,40000.00,"rejected","2019-01-07 03:54:16",NULL,77
20794,12,20000.00,"rejected","2019-01-07 04:00:37",NULL,119
20795,24,20000.00,"rejected","2019-01-07 04:02:20",NULL,319
20796,3,5000.00,"rejected","2019-01-07 04:17:56",NULL,403
20797,6,15000.00,"accepted","2019-01-07 04:24:34","2019-01-10 02:36:26",381
20798,12,37000.00,"accepted","2019-01-07 04:28:46","2019-01-15 01:32:16",318
20799,12,48500.00,"accepted","2019-01-07 04:32:42","2019-01-10 06:10:13",385
20800,6,8000.00,"rejected","2019-01-07 04:33:09",NULL,119
20801,6,30000.00,"rejected","2019-01-07 05:24:15",NULL,64
20802,12,50000.00,"rejected","2019-01-07 05:30:03",NULL,307
20803,6,15000.00,"accepted","2019-01-07 05:34:42","2019-01-23 23:43:54",414
20804,12,5000.00,"open application","2019-01-07 05:35:21",NULL,127
20805,6,35000.00,"accepted","2019-01-07 05:54:52","2019-01-10 03:05:28",382
20806,24,50000.00,"rejected","2019-01-07 06:02:02",NULL,127
20807,6,18000.00,"accepted","2019-01-07 06:12:16","2019-01-17 01:48:17",407
20808,6,15000.00,"rejected","2019-01-07 06:13:26",NULL,84
20809,12,52000.00,"rejected","2019-01-07 06:16:26",NULL,252
20810,6,53000.00,"accepted","2019-01-07 06:22:35","2019-01-10 07:20:21",214
20811,24,50000.00,"open application","2019-01-07 06:25:08",NULL,307
20812,12,50000.00,"rejected","2019-01-07 06:32:15",NULL,385
20813,12,27000.00,"accepted","2019-01-07 06:41:40","2019-01-10 01:39:59",122
20814,6,15000.00,"accepted","2019-01-07 06:43:32","2019-01-10 03:12:56",84
20815,12,20000.00,"accepted","2019-01-07 06:47:20","2019-01-10 05:30:12",198
20816,12,20000.00,"open application","2019-01-07 06:55:17",NULL,74
